Enter the filename to read from: nhlstats.txt

Name            Position      Team      GP       G       A     PIM     SOG     GWG       P     P/G     PCT

McClement       C              TOR      48       8       9      11      48       0      17   00.35   16.67
Mueller         RW             FLA      43       8       9      18     131       0      17   00.40   06.11
Fehr            RW             WSH      41       9       8      10      72       2      17   00.41   12.50
Cervenka        C              CGY      39       9       8      14      51       0      17   00.44   17.65
Landeskog       LW             COL      36       9       8      22     109       1      17   00.47   08.26
Filppula        C              DET      41       9       8       6      78       0      17   00.41   11.54
Paille          LW             BOS      46      10       7       8      70       1      17   00.37   14.29
Foligno         LW             BUF      47       5      13      41      55       0      18   00.38   09.09
Josi            D              NSH      48       5      13       8      96       1      18   00.38   05.21
Leddy           D              CHI      48       6      12      10      65       2      18   00.38   09.23
Stafford        RW             BUF      46       6      12      21     121       0      18   00.39   04.96
Antropov        RW             WPG      40       6      12      16      56       0      18   00.45   10.71
Peverley        C              BOS      47       6      12      16      95       0      18   00.38   06.32
Stoll           C               LA      48       7      11      28      73       3      18   00.38   09.59
Torres          LW              SJ      39       7      11      17      60       0      18   00.46   11.67
Umberger        C              CBJ      48       8      10      16      96       0      18   00.38   08.33
Havlat          LW              SJ      40       8      10      30      89       1      18   00.45   08.99
Atkinson        RW             CBJ      35       9       9       4      91       1      18   00.51   09.89
Anisimov        C              CBJ      35      11       7      12      68       3      18   00.51   16.18
Lupul           RW             TOR      16      11       7      12      42       3      18   01.12   26.19
Clowe           RW             NYR      40       3      16      93      87       0      19   00.48   03.45
Zidlicky        D               NJ      48       4      15      38     101       0      19   00.40   03.96
McDonagh        D              NYR      47       4      15      22      83       1      19   00.40   04.82
Wiercioch       D              OTT      42       5      14      39      81       0      19   00.45   06.17
Johnson         D              CBJ      44       5      14      12      96       1      19   00.43   05.21
Foligno         LW             CBJ      45       6      13      28      69       2      19   00.42   08.70
Winnik          LW             ANA      48       6      13      16      95       1      19   00.40   06.32
Chara           D              BOS      48       7      12      70     119       2      19   00.40   05.88
Wilson          C              NSH      25       7      12       4      26       1      19   00.76   26.92
Killorn         C               TB      38       7      12      14      82       2      19   00.50   08.54
Tarasenko       RW             STL      38       8      11      10      75       1      19   00.50   10.67
Greening        C              OTT      47       8      11      11      80       2      19   00.40   10.00
Sobotka         C              STL      48       8      11      35      69       2      19   00.40   11.59
Goc             C              FLA      42       9      10       8      92       1      19   00.45   09.78
Silfverberg     LW             OTT      48      10       9      12     134       2      19   00.40   07.46
Sutter          C              PIT      48      11       8       4      82       5      19   00.40   13.41
Bailey          C              NYI      38      11       8       6      76       1      19   00.50   14.47
Dubinsky        C              CBJ      29       2      18      76      50       0      20   00.69   04.00
Hedman          D               TB      44       4      16      31      76       0      20   00.45   05.26
Moss            LW             PHX      45       5      15      21      82       0      20   00.44   06.10
O'Reilly        C              COL      29       6      14       4      66       0      20   00.69   09.09
Sharp           C              CHI      28       6      14      14      88       1      20   00.71   06.82
Oshie           C              STL      30       7      13      15      65       1      20   00.67   10.77
Zibanejad       C              OTT      42       7      13       6      90       0      20   00.48   07.78
Boyle           D               SJ      46       7      13      27      97       0      20   00.43   07.22
Zajac           C               NJ      48       7      13      22      82       1      20   00.42   08.54
Ward            RW             WSH      39       8      12      12      52       1      20   00.51   15.38
Bouchard        C              MIN      43       8      12       8      71       2      20   00.47   11.27
Seabrook        D              CHI      47       8      12      23      65       1      20   00.43   12.31
Pouliot         LW              TB      34       8      12      15      60       1      20   00.59   13.33
MacArthur       LW             TOR      40       8      12      26      62       1      20   00.50   12.90
Hemsky          RW             EDM      38       9      11      16      82       1      20   00.53   10.98
Burns           RW              SJ      30       9      11      20      81       0      20   00.67   11.11
Mitchell        C              COL      47      10      10      18      72       1      20   00.43   13.89
Zotto           D              NYR      46       3      18      18      81       0      21   00.46   03.70
McDonald        C              STL      37       7      14      16      86       2      21   00.57   08.14
Cooke           LW             PIT      48       8      13      36      61       1      21   00.44   13.11
Palmieri        RW             ANA      42      10      11       9      92       5      21   00.50   10.87
Fisher          C              NSH      38      10      11      27      68       0      21   00.55   14.71
Heatley         RW             MIN      36      11      10       8      83       1      21   00.58   13.25
