Symbol          Probability     Huffman Code    
T               0.002           110000110       
j               0.002           110000111       
,               0.002           110001000       
M               0.002           110001001       
E               0.002           110001010       
G               0.002           110001011       
D               0.004           11000000        
R               0.004           11000001        
S               0.004           11000010        
O               0.007           0111000         
U               0.007           0111001         
Y               0.009           1100011         
b               0.009           1110000         
!               0.009           1110001         
.               0.011           1110010         
v               0.011           1110011         
w               0.013           001110          
g               0.013           001111          
P               0.015           011101          
f               0.015           101010          
p               0.015           101011          
k               0.024           111110          
d               0.026           111111          
c               0.026           00110           
i               0.029           01111           
y               0.029           10100           
m               0.031           10110           
h               0.033           10111           
u               0.035           11001           
r               0.046           11101           
l               0.048           11110           
s               0.051           0010            
n               0.055           0110            
a               0.081           1101            
o               0.101           000             
t               0.11            010             
e               0.114           100             
